"sentence","src_label","tgt_label","link_type"
"In Russia, few secrets are guarded as jealously as basic information about President Vladimir Putin’s family.","Vladimir Putin","Russia","MANAGER"
"Vladimir Putin’s spokesman, Dmitry Peskov, replied in one sentence: “We’ve already left such questions without answers many times.”","Vladimir Putin","Dmitry Peskov","ASSOCIATE"
"US Frees President Maduro’s “Narco Nephews” in Prisoner Swap Venezuela on Saturday has freed seven jailed Americans in exchange for the release of two relatives of the Venezuelan President Nicolas Maduro who were convicted of drug trafficking in New York, U.S. officials said.","New York","US","WITHIN"
" These are among the findings of a yearlong investigation by the International Consortium of Investigative Journalists, German newspaper Süddeutsche Zeitung and more than 100 other news organizations.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
"US Frees President Maduro’s “Narco Nephews” in Prisoner Swap Venezuela on Saturday has freed seven jailed Americans in exchange for the release of two relatives of the Venezuelan President Nicolas Maduro who were convicted of drug trafficking in New York, U.S. officials said.","New York","U.S","WITHIN"
" Gurupreet, originally from the village of Hasanpur in northern India, was trying to reach her father, who had been living in New York for some years after claiming asylum in the U.S. Instead, she died in the desert of southern Arizona while her mother was trying to find water.","New York","U.S","WITHIN"
" “… JTI management has not lived up to the ‘zero-tolerance policy’ … and, in those cases that touch on smuggling into or via the European Union, has specifically and repeatedly violated (its obligations under the European Commission agreement of 2007).”","European Commission","European Union","ASSOCIATE"
"It was published Nov. 5, 2017, coordinated by Süddeutsche Zeitung, a German newspaper, and the International Consortium of Investigative Journalists, which cooperated with over 90 media partners.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
" Litvak is also a signatory on the New York property aquisitions made by the US branches of Prevezon Cyprus.","New York","US","WITHIN"
"Paul Radu is co-founder and chief of innovation at OCCRP.","Paul Radu","OCCRP","MANAGER"
"But reporters for Organized Crime and Corruption Reporting Project (OCCRP) and Novaya Gazeta, by tracing the yacht’s travels and matching them to posts on social media sites, believe they have identified a possible owner of the vessel.","Organized Crime and Corruption Reporting Project","Novaya Gazeta","ASSOCIATE"
" Darth Vader of Russian politics Igor Sechin, 55, is considered one of the most powerful men in Russia, after his long-time friend and boss, Russian Federation President Vladimir Putin.","Vladimir Putin","Russian Federation","MANAGER"
" Darth Vader of Russian politics Igor Sechin, 55, is considered one of the most powerful men in Russia, after his long-time friend and boss, Russian Federation President Vladimir Putin.","Vladimir Putin","Russia","MANAGER"
" The representative also said, in their opinion, that Novaya Gazeta and OCCRP were part of a smear campaign against the company but did not elaborate by whom or why.","OCCRP","Novaya Gazeta","ASSOCIATE"
" HONORABLE MENTIONS: Trace Prize for Investigative Reporting An honorable mention went to the Organized Crime and Corruption Reporting Project, Reuters, the Times of Malta and Suddeutsche Zeitung for their investigation “Trail of Murdered Journalist’s Reporting Leads from Malta to China,” carried out as part of The Daphne Project led by Forbidden Stories.","Süddeutsche Zeitung","Organized Crime and Corruption Reporting Project","BUSINESS"
" In a village about 250 kilometers from Baku, near Azerbaijan’s border with Iran, Elkhan Aliyev, a 44-year-old electrician and father of two, lives on a modest farm.","Baku","Azerbaijan","WITHIN"
" In Azerbaijan, OCCRP reporters went to Trans-Signal-Rabita’s official registered address on 28th of May Street in Baku’s Lokbatan neighborhood, hoping to find the office and talk with executives.","Baku","Azerbaijan","WITHIN"
"The submission says it has a Baku office, qualified staff, and experience with signaling work in Azerbaijan and neighboring Georgia.","Baku","Azerbaijan","WITHIN"
"Banned in Russia, Navalny’s Anti-Graft Foundation Goes International Despite having spent 540 days in jail, expecting to spend thousands more in his cell, having Russian authorities ban his Anti-Corruption Foundation (FBK) for being a “foreign agent” and an “extremist” organization, Alexei Navalny continues to fight against the Kremlin and is going international.","Alexei Navalny","Anti-Corruption Foundation","MANAGER"
"Banned in Russia, Navalny’s Anti-Graft Foundation Goes International Despite having spent 540 days in jail, expecting to spend thousands more in his cell, having Russian authorities ban his Anti-Corruption Foundation (FBK) for being a “foreign agent” and an “extremist” organization, Alexei Navalny continues to fight against the Kremlin and is going international.","Alexei Navalny","FBK","MANAGER"
"Banned in Russia, Navalny’s Anti-Graft Foundation Goes International Despite having spent 540 days in jail, expecting to spend thousands more in his cell, having Russian authorities ban his Anti-Corruption Foundation (FBK) for being a “foreign agent” and an “extremist” organization, Alexei Navalny continues to fight against the Kremlin and is going international.","Kremlin","Alexei Navalny","ANTAGONIST"
" The data was provided by an anonymous source to the German newspaper Süddeutsche Zeitung, which shared it with OCCRP and 46 other media partners around the world.","Süddeutsche Zeitung","OCCRP","BUSINESS"
" As Russia’s most known anti-graft organization, the FBK and Navalny himself have faced numerous lawsuits for their journalistic investigations into the wealth of the country’s oligarchs, such as Oleg Deripaska or Yevgeny Prigozhin, or top officials, like former Russian President and Prime Minister Dmitry Medvedev, up to the very top – President Vladimir Putin.","Yevgeny Prigozhin","Vladimir Putin","ASSOCIATE"
" As Russia’s most known anti-graft organization, the FBK and Navalny himself have faced numerous lawsuits for their journalistic investigations into the wealth of the country’s oligarchs, such as Oleg Deripaska or Yevgeny Prigozhin, or top officials, like former Russian President and Prime Minister Dmitry Medvedev, up to the very top – President Vladimir Putin.","Vladimir Putin","FBK","ANTAGONIST"
" As Russia’s most known anti-graft organization, the FBK and Navalny himself have faced numerous lawsuits for their journalistic investigations into the wealth of the country’s oligarchs, such as Oleg Deripaska or Yevgeny Prigozhin, or top officials, like former Russian President and Prime Minister Dmitry Medvedev, up to the very top – President Vladimir Putin.","Vladimir Putin","Dmitry Medvedev","ASSOCIATE"
" As Russia’s most known anti-graft organization, the FBK and Navalny himself have faced numerous lawsuits for their journalistic investigations into the wealth of the country’s oligarchs, such as Oleg Deripaska or Yevgeny Prigozhin, or top officials, like former Russian President and Prime Minister Dmitry Medvedev, up to the very top – President Vladimir Putin.","Vladimir Putin","Oleg Deripaska","INDIRECT"
" As Russia’s most known anti-graft organization, the FBK and Navalny himself have faced numerous lawsuits for their journalistic investigations into the wealth of the country’s oligarchs, such as Oleg Deripaska or Yevgeny Prigozhin, or top officials, like former Russian President and Prime Minister Dmitry Medvedev, up to the very top – President Vladimir Putin.","Vladimir Putin","Russia","MANAGER"
"Drew Sullivan is a social entrepreneur and co-founder and publisher of OCCRP.","Drew Sullivan","OCCRP","MANAGER"
"OCCRP’s work on the Panama Papers with the International Consortium of Investigative Journalists won a 2017 Pulitzer Prize in Journalism.","International Consortium of Investigative Journalists","OCCRP","BUSINESS"
" WINNER: ROMAN ANIN WINS ICFJ KNIGHT TRAILBLAZER AWARD Roman Anin won the award for launching IStories (or “Important Stories”), an OCCRP member center and investigative news site that digs deeply into stories that are difficult to tell in Vladimir Putin’s Russia.","Vladimir Putin","Russia","MANAGER"
" WINNER: IStories — The Investigative Reporting Award 2021 from the European Press Prize Love, offshores, and administrative resources: How marrying Putin’s daughter gave Kirill Shamalov a world of opportunity by Roman Anin, Alesya Marohovskaya, Irina Dolinina, Dmitry Velikovsky, Roman Shleynov, Sonya Savina, Olesya Shmagun, Denis Dmitriev, published by IStories and OCCRP Last year, IStories gained access to thousands of emails sent and received by Kirill Shamalov — Vladimir Putin’s former son-in-law — that show the fantastic wealth and personal power that come with access to Russia’s first family.","Vladimir Putin","Russia","MANAGER"
"OCCRP’s Paul Radu, executive director, and Novaya Gazeta's Roman Anin accepted the award given to journalists who had done the most in the Magnitsky case.","Paul Radu","OCCRP","MANAGER"
" Winner: Knight International Journalism Award In November, OCCRP reporter and Novaya Gazeta journalist Roman Anin received the 2013 Knight International Journalism Award.","OCCRP","Novaya Gazeta","ASSOCIATE"
"At the time, the family had already established a good relationship with Azerbaijan’s first president Heydar Aliyev, the father of the current president Ilham Aliyev.","Ilham Aliyev","Heydar Aliyev","FAMILY"
"OCCRP’s Paul Radu, executive director, and Novaya Gazeta's Roman Anin accepted the award given to journalists who had done the most in the Magnitsky case.","OCCRP","Novaya Gazeta","ASSOCIATE"
" WINNER: 2019 TOM RENNER AWARD FROM INVESTIGATIVE REPORTERS AND EDITORS A joint team from OCCRP, RFE/RL's Radio Azattyk, and OCCRP member center Kloop won the top U.S. award for crime reporting for “Plunder and Patronage in the Heart of Central Asia,” a series of stories that expose a massive outflow of dark money from Kyrgyzstan.","RFE/RL","OCCRP","BUSINESS"
"The award was bestowed on the International Consortium of Investigative Journalists, McClatchy, the Miami Herald, Süddeutsche Zeitung and other international media partners for reporting on the project, including OCCRP Network.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
" Winner: ACCOUNT Awards OCCRP member CIN, Sarajevo, was recognized at the Bosnia and Herzegovina Anti-Corruption Civic Organizations Unified Network (ACCOUNT)’s annual journalism awards ceremony for the fourth time.","Sarajevo","Bosnia and Herzegovina","WITHIN"
" 2015 AWARDS Received Honors: ACCOUNT Awards Aladin Abdagić received honors for the best corruption reporting in 2015 from the Anti-Corruption Network in Bosnia and Herzegovina (ACCOUNT) in Sarajevo.","Sarajevo","Bosnia and Herzegovina","WITHIN"
" Winner: IRE 2015 Tom Renner Award OCCRP reporters and editors, including many working both inside and outside Azerbaijan, have been awarded IRE's 2015 Tom Renner Award recognizing outstanding crime and corruption reporting for The Khadija Project, in which OCCRP continued the work of our then-jailed partner Khadija Ismayilova.","Khadija Ismayilova","OCCRP","EMPLOYEE"
" Winner: UNESCO/Guillermo Cano World Press Freedom Prize 2016 Awarded to then-jailed OCCRP partner and RFE/RL Azerbaijani reporter Khadija Ismayilova “in recognition of her outstanding contribution to press freedom in difficult circumstances.”","Khadija Ismayilova","OCCRP","EMPLOYEE"
" Winner: Golden Shovel Award (Sweden) OCCRP reporter and regional editor Miranda Patrucic, OCCRP/RFE/RL's Khadija Ismayilova and representatives of SVT and Swedish news agency TT were recognized with Sweden’s prestigious Golden Shovel award for their work on Telia Sonera’s activities in Azerbaijan.","Khadija Ismayilova","OCCRP","EMPLOYEE"
"According to a US bribery trial in federal court in New York, the last known whereabouts of two-thirds of the Azerbaijani vouchers were in 28 shell companies owned by Azerbaijani government officials including possibly the Aliyevs.","New York","US","WITHIN"
" The findings were also used to strengthen a campaign for tougher EU-wide banking supervision, which became one of six pillars of the European Commission’s new anti-money laundering action plan.","European Commission","EU","ASSOCIATE"
" ORGANIZED CRIME AND FORMATION AGENTS Credit: Svetlana Tiourina In 2019, OCCRP coordinated a cross-border investigation into a major London-based company formation agency, part of an industry that U.K. law enforcement officials admit is regularly exploited by criminals.","London","U.K","WITHIN"
" An investigation by Novaya Gazeta, a partner of the Organized Crime and Corruption Reporting Project, shows who paid the price: more than 1,100 ordinary people who had worked for decades on a giant poultry plant outside Moscow.","Organized Crime and Corruption Reporting Project","Novaya Gazeta","ASSOCIATE"
" The firm’s Panama-based co-founder, Jürgen Mossack, testified under oath that “MF Nevada and Mossack Fonseca do not have a parent-subsidiary relationship nor does Mossack Fonseca control the internal affairs or daily operations of MF Nevada’s business.”","Jürgen Mossack","Mossack Fonseca","MANAGER"
" But secret records obtained by the International Consortium of Investigative Journalists (ICIJ), the German newspaper Süddeutsche Zeitung and more than 100 other media partners raise new doubts over that sworn testimony.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
" But secret records obtained by the International Consortium of Investigative Journalists (ICIJ), the German newspaper Süddeutsche Zeitung and more than 100 other media partners raise new doubts over that sworn testimony.","ICIJ","Süddeutsche Zeitung","BUSINESS"
"The house near Biarritz, in a little seaside town called Anglet, is not far from another villa owned by the husband of Katerina Tikhonova, who is widely reported to be Vladimir Putin’s daughter.","Katerina Tikhonova","Vladimir Putin","FAMILY"
"In 2016, OCCRP and Novaya Gazeta reported that the Panama Papers - a leak of thousands of documents obtained from an offshore services provider - revealed how Vladimir Putin’s childhood friend, a musician who has never openly run a business, concealed billions of dollars in undeclared assets through palaces, investments, and shares in strategic enterprises.","OCCRP","Novaya Gazeta","ASSOCIATE"
"OCCRP and Partners From Kyrgyzstan Win Top U.S. Award for Crime Reporting A joint team from OCCRP, RFE/RL's Radio Azattyk, and OCCRP member center Kloop has received the 2019 Tom Renner Award from Investigative Reporters and Editors (IRE) for Plunder and Patronage in the Heart of Central Asia, a series of stories that expose a massive outflow of dark money from Kyrgyzstan.","RFE/RL","OCCRP","BUSINESS"
" The GACC brings together investigative reporting by OCCRP’s global network of investigative journalists and advocacy efforts driven by Transparency International (TI), including its 100 chapters around the world.","OCCRP","Transparency International","ASSOCIATE"
" Secrecy for Sale The files show that as well as Deutsche Bank, the firm works with some of the world’s other biggest financial institutions, such as HSBC, Société Générale, Credit Suisse, UBS, and Commerzbank, in some cases to help the banks’ clients set up complex structures that make it hard for tax collectors and investigators to track the flow of money from one place to another.","Deutsche Bank","HSBC","BUSINESS"
" “It's a dangerous and often thankless job to write on this topic, but the reporters for RFE/RL and Kloop persevered to tell the last words of a dying source,” said Drew Sullivan, co-founder and publisher of OCCRP. “","Drew Sullivan","OCCRP","MANAGER"
"In one story circulating in Sarajevo, Čegar helped rebuild Bosnia’s police force at the beginning of the war, when it was left devastated by the sudden departure of a large portion of its Serb staff.","Sarajevo","Bosnia","WITHIN"
"We also have to get ahead of the range of post-virus reconstruction activity ripe for malpractice,” said Paul Radu, co-founder and chief of innovation at OCCRP. “","Paul Radu","OCCRP","MANAGER"
" “As independent media continues to be threatened around the world, this alliance with the Skoll Foundation will help us to empower the small, nonprofit outlets in our member center network, which in some cases are the last independent voices in their countries,” said Drew Sullivan, co-founder and publisher of OCCRP.","Drew Sullivan","OCCRP","MANAGER"
" – Khadija Ismayilova, Azerbaijani investigative journalist for OCCRP, on the Azerbaijani Laundromat project 🔗Ongoing Impact of the Azerbaijani Laundromat Project - Financial regulators ordered the shutdown of Danske Bank’s Estonian branch (2019).","Danske Bank","Azerbaijani Laundromat","BUSINESS"
" – Khadija Ismayilova, Azerbaijani investigative journalist for OCCRP, on the Azerbaijani Laundromat project 🔗Ongoing Impact of the Azerbaijani Laundromat Project - Financial regulators ordered the shutdown of Danske Bank’s Estonian branch (2019).","Khadija Ismayilova","OCCRP","EMPLOYEE"
" - German prosecutors fined Deutsche Bank more than $15 million for delayed suspicious transaction reports on money laundering transactions linked to the Russian and Azerbaijan Laundromats, which Deutsche Bank facilitated as a correspondent bank for Danske Bank (2020).","Deutsche Bank","Danske Bank","BUSINESS"
" - Deutsche Bank was penalized $150 million in the United States for serious irregularities, partially for money transfers from the former Danske Bank branch in Estonia (2020).","Deutsche Bank","Danske Bank","BUSINESS"
"Among the most recognizable of these blacklisted businessmen is Roman Abramovich, the fashion-conscious billionaire who became a household name in Europe after he purchased Chelsea Football Club in 2003.","Roman Abramovich","Chelsea Football Club","OWNER"
" They were joined in a region-wide look at football by colleagues at the Center for Investigative Reporting (CIN) in Sarajevo, which produced a series of stories on football in Bosnia and Herzegovina (BiH).","Sarajevo","Bosnia and Herzegovina","WITHIN"
" Under Secretary of the Treasury for Terrorism and Financial Intelligence Brian E. Nelson also commented on the sanctions, stressing that they underscore “how politicians in Bosnia and Herzegovina are undermining democratic institutions and processes for their own political gain and to reward their patronage networks.”","Brian E. Nelson","Treasury","MANAGER"
" Following Russia’s invasion of Ukraine in February, western governments moved to sanction Russian oligarchs benefitting from their relationships with President Vladimir Putin.","Vladimir Putin","Ukraine","ANTAGONIST"
" Following Russia’s invasion of Ukraine in February, western governments moved to sanction Russian oligarchs benefitting from their relationships with President Vladimir Putin.","Vladimir Putin","Russia","MANAGER"
" Meanwhile, Abramovich — who once lived in London — has rushed to reorganize his holdings in response to the U.K. sanctions, including selling Chelsea Football Club to a U.S. billionaire.","London","U.K","WITHIN"
" Coaches and players who talked with the Center for Investigative Reporting in Sarajevo (CIN) said that the poor facilities, lack of systematic training, poor quality of football and low pay in BiH make it a bad place to build a football career.","Sarajevo","BiH","WITHIN"
" OCCRP is a joint program of the Center for Investigative Reporting in Sarajevo, Romanian Center for Investigative Journalism, Bulgarian Investigative Journalism Center, the Caucasus Media Investigation Center, Armenian Investigative Reporters, The Center for Investigative Reporting – Serbia, Media Focus, Novaya Gazeta in Moscow, the Georgian Group of Journalists and investigative journalists in Montenegro, Albania, Hungary, Moldova, Ukraine and Macedonia.","OCCRP","Novaya Gazeta","ASSOCIATE"
"In 2016, OCCRP and Novaya Gazeta reported that the Panama Papers - a leak of thousands of documents obtained from an offshore services provider - revealed how Vladimir Putin’s childhood friend, a musician who has never openly run a business, concealed billions of dollars in undeclared assets through palaces, investments, and shares in strategic enterprises.","OCCRP","Novaya Gazeta","ASSOCIATE"
" EU: Focus is Enhancing Security Reporters asked the European Commission whether the EU’s supply of equipment to Belarusian border authorities risked contributing to internal repression or human rights violations against refugees.","European Commission","EU","ASSOCIATE"
"Among the most recognizable of these blacklisted businessmen is Roman Abramovich, the fashion-conscious billionaire who became a household name in Europe after he purchased Chelsea Football Club in 2003.","Roman Abramovich","Chelsea Football Club","OWNER"
" Following Russia’s invasion of Ukraine in February, western governments moved to sanction Russian oligarchs benefitting from their relationships with President Vladimir Putin.","Vladimir Putin","Ukraine","ANTAGONIST"
" Following Russia’s invasion of Ukraine in February, western governments moved to sanction Russian oligarchs benefitting from their relationships with President Vladimir Putin.","Vladimir Putin","Russia","MANAGER"
" Meanwhile, Abramovich — who once lived in London — has rushed to reorganize his holdings in response to the U.K. sanctions, including selling Chelsea Football Club to a U.S. billionaire.","London","U.K","WITHIN"
" 🔗The Suisse Secrets Investigation The data was provided by an anonymous source to the German newspaper Süddeutsche Zeitung, which shared it with OCCRP and 46 other media partners around the world.","Süddeutsche Zeitung","OCCRP","BUSINESS"
" The data was provided by an anonymous source to the German newspaper Süddeutsche Zeitung, which shared it with OCCRP and 46 other media partners around the world.","Süddeutsche Zeitung","OCCRP","BUSINESS"
" After exposing offshore fortunes and sweetheart deals given to allies of Vladimir Putin, Roman Anin gained a reputation as one of Russia’s top investigative journalists.","Vladimir Putin","Russia","MANAGER"
" Mauss did not personally own any offshore companies, Mauss’s lawyer told ICIJ partners Suddeutsche Zeitung and NDR public television.","ICIJ","Süddeutsche Zeitung","BUSINESS"
" Now, records obtained by the International Consortium of Investigative Journalists, the German newspaper Süddeutsche Zeitung and other media partners reveal new details about one of America’s most colorful political donors.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
" After a fire gutted the St. Sava Cathedral, Manhattan’s landmark Serbian Orthodox church in May 2016, Serbian Foreign Minister Ivica Dačić flew to New York to see the damage.","Manhattan","New York","WITHIN"
" Of the 26 current and former coaches of teams in the Bosnia and Herzegovina (BiH) Premier League that were interviewed by reporters from the Center for Investigative Reporting in Sarajevo (CIN) over the past several months, 24 said they considered league competition rigged in ways that led to such predictable results that fans had lost interest in following their teams.","Sarajevo","Bosnia and Herzegovina","WITHIN"
" Russia’s invasion of Ukraine has shifted the international spotlight onto the enormous wealth of Russian oligarchs and other enablers of Vladimir Putin’s regime — a group of people OCCRP has been investigating for years.","Vladimir Putin","Ukraine","ANTAGONIST"
" Russia’s invasion of Ukraine has shifted the international spotlight onto the enormous wealth of Russian oligarchs and other enablers of Vladimir Putin’s regime — a group of people OCCRP has been investigating for years.","Vladimir Putin","Russia","MANAGER"
"Some even circumvent the extradition process entirely, surrendering in third countries and striking their own backroom deals with the U.S. “They picked up on the formula, especially the bigger guys,” said David Zapp, a New York defense lawyer who has represented many top-level traffickers. “","New York","U.S","WITHIN"
" Ismayilova had exposed the accumulated wealth of Azerbaijan's President Ilham Aliyev and his family, linking them to alleged corruption scandals.","Ilham Aliyev","Ismayilova","ANTAGONIST"
" The former Radio Free Europe/Radio Liberty program host and senior investigator with the Organized Crime and Corruption Reporting Project looked out of the window and noticed two SUV-type cars with satellite dishes on their roofs parked near her house.","Radio Free Europe/Radio Liberty","Organized Crime and Corruption Reporting Project","BUSINESS"
"The house near Biarritz, in a little seaside town called Anglet, is not far from another villa owned by the husband of Katerina Tikhonova, who is widely reported to be Vladimir Putin’s daughter.","Katerina Tikhonova","Vladimir Putin","FAMILY"
" In London, Proca shot Gherman Gorbuntsov, 46, a controversial Moldovan-Russian banker, according to law enforcement in Moldova and the United Kingdom.","London","United Kingdom","WITHIN"
" It is part of the Global Anti-Corruption Consortium, a partnership between OCCRP and Transparency International.","OCCRP","Transparency International","ASSOCIATE"
" Blonde and athletic, Proca, grew up in the tiny village of Pitusca, about an hour drive from the Moldova’s capital of Chisinau.","Chisinau","Moldova","WITHIN"
" Draft contracts obtained by OCCRP show that Elgasolve, a company run by Gupta’s key associate Salim Essa, offered to purchase 50 percent of Regiments Capital for 200 million rand ($14 million), promising that it would earn massive profits thanks to their involvement.","Regiments Capital","Salim Essa","BUSINESS"
" In London, Proca shot Gherman Gorbuntsov, 46, a controversial Moldovan-Russian banker, according to law enforcement in Moldova and the United Kingdom.","London","United Kingdom","WITHIN"
" Blonde and athletic, Proca, grew up in the tiny village of Pitusca, about an hour drive from the Moldova’s capital of Chisinau.","Chisinau","Moldova","WITHIN"
"The banks and companies involved are run by managers and board members that include well known businessmen, a cousin of Russian President Vladimir Putin, and persons said to be close to the KGB.","Vladimir Putin","KGB","EMPLOYEE"
" Previously, he was a reporter with Global Investigations Review in London, and worked as a freelancer for the Guardian’s U.K. national and community news desks.","London","U.K","WITHIN"
" “For criminals, money launderers, and the corrupt, borders mean nothing,” said Paul Radu, co-founder of OCCRP. “","Paul Radu","OCCRP","MANAGER"
"Organized crime figure “Pisateli The Writer” arrested in Moldova Organized crime boss Ion Anton Druta, known as “Vanea” or “Pisateli The Writer” was arrested July 12 in Chisinau by the National Inspector of Investigations of the Republic of Moldova.","Chisinau","Republic of Moldova","WITHIN"
" “Napout rose to the highest ranks of soccer, holding FIFA executive positions and running a powerful continental confederation, only to turn his back on the institutions and people he was entrusted to serve,” said US Attorney for the Eastern District of New York, Richard P. Donoghue.","New York","US","WITHIN"
" Their employers were Leyla and Arzu Aliyeva, the daughters of President Ilham Aliyev.","Ilham Aliyev","Arzu Aliyeva","FAMILY"
" Photo Arzu Aliyeva: azertag.az This information can be found in data from the Panama-based offshore services provider Mossack Fonseca, obtained by the German newspaper Süddeutsche Zeitung and shared by the International Consortium of Investigative Journalists with the OCCRP and more than 100 other media partners from 82 countries.","Süddeutsche Zeitung","OCCRP","BUSINESS"
" Photo Arzu Aliyeva: azertag.az This information can be found in data from the Panama-based offshore services provider Mossack Fonseca, obtained by the German newspaper Süddeutsche Zeitung and shared by the International Consortium of Investigative Journalists with the OCCRP and more than 100 other media partners from 82 countries.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
" Photo Arzu Aliyeva: azertag.az This information can be found in data from the Panama-based offshore services provider Mossack Fonseca, obtained by the German newspaper Süddeutsche Zeitung and shared by the International Consortium of Investigative Journalists with the OCCRP and more than 100 other media partners from 82 countries.","International Consortium of Investigative Journalists","OCCRP","BUSINESS"
" A 2012 investigation by Radio Free Europe/Radio Liberty and the Organized Crime and Corruption Reporting Project (OCCRP) journalist Khadija Ismayilova showed the daughters were behind Globex International LLP which owned 11 percent of the consortium.","Radio Free Europe/Radio Liberty","Organized Crime and Corruption Reporting Project","BUSINESS"
" A 2012 investigation by Radio Free Europe/Radio Liberty and the Organized Crime and Corruption Reporting Project (OCCRP) journalist Khadija Ismayilova showed the daughters were behind Globex International LLP which owned 11 percent of the consortium.","Khadija Ismayilova","Organized Crime and Corruption Reporting Project","EMPLOYEE"
" A 2012 investigation by Radio Free Europe/Radio Liberty and the Organized Crime and Corruption Reporting Project (OCCRP) journalist Khadija Ismayilova showed the daughters were behind Globex International LLP which owned 11 percent of the consortium.","Khadija Ismayilova","Radio Free Europe/Radio Liberty","EMPLOYEE"
" This story is part of the Global Anti-Corruption Consortium, a partnership between OCCRP and Transparency International.","OCCRP","Transparency International","ASSOCIATE"
"Reporters from the Organized Crime and Corruption Reporting Project (OCCRP) met Moldovan citizen Vadim Ciornea, aka Cascei, in the garden of a luxury hotel in downtown Chisinau, the capital of the Republic of Moldova.","Chisinau","Republic of Moldova","WITHIN"
"Based in Johannesburg, South Africa, Beauregard is an Africa editor with OCCRP.","Johannesburg","South Africa","WITHIN"
"The Pandora Papers · Major Azerbaijani Construction Materials Plant Had a Secret Co-Owner: President Ilham Aliyev’s Daughter Major Azerbaijani Construction Materials Plant Had a Secret Co-Owner: President Ilham Aliyev’s Daughter Credit: James O’Brien/OCCRP In December 2011, just a few days before the new year, Azerbaijani President Ilham Aliyev attended the inauguration of a 40 million manat (US$50.9 million) construction material plant outside of the country’s capital, Baku.","Baku","Azerbaijani","WITHIN"
" Grigoriev managed RZB with Igor Putin, the cousin of Russian President Vladimir Putin.","Igor Putin","Vladimir Putin","FAMILY"
"Alexandra Gillies is the director of the Global Anti-Corruption Consortium, a partnership between OCCRP and Transparency International that brings together investigative journalism and civil society advocacy to fight transnational corruption.","OCCRP","Transparency International","ASSOCIATE"
"Dodia is involved in a court case in Chisinau, the capital of Moldova, claiming a Moldindconbank shareholder owes it about US$ 20 million.","Chisinau","Moldova","WITHIN"
" This story is part of the Global Anti-Corruption Consortium, a partnership between OCCRP and Transparency International.","OCCRP","Transparency International","ASSOCIATE"
"Paul Radu is co-founder and chief of innovation at OCCRP.","Paul Radu","OCCRP","MANAGER"
" This story is part of the Global Anti-Corruption Consortium, a partnership between OCCRP and Transparency International.","OCCRP","Transparency International","ASSOCIATE"
"The Guptas have close ties to South African President Jacob Zuma, whose son, Duduzane Zuma, is on their payroll, and they are well known for giving perks to other public officials and receiving favors in return.","Jacob Zuma","Guptas","ASSOCIATE"
"Drew Sullivan is a social entrepreneur and co-founder and publisher of OCCRP.","Drew Sullivan","OCCRP","MANAGER"
"OCCRP’s work on the Panama Papers with the International Consortium of Investigative Journalists won a 2017 Pulitzer Prize in Journalism.","International Consortium of Investigative Journalists","OCCRP","BUSINESS"
" The cache of documents was obtained by the International Consortium of Investigative Journalists, the German newspaper Süddeutsche Zeitung and other media partners.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
" “Western Europe is a major hub for transnational criminal groups as well as money laundering, as OCCRP has repeatedly shown, most recently with our Suisse Secrets and Russian Asset Tracker projects,” said OCCRP Co-Founder Paul Radu.","Paul Radu","OCCRP","MANAGER"
" Mossack Fonseca, which is based in Panama but has offices around the world, has worked with at least 33 individuals or companies that have landed on the Treasury Department’s OFAC list, according to an analysis of the firm’s internal files by the International Consortium of Investigative Journalists, the German newspaper Süddeutsche Zeitung and other media partners.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
" “It’s essential that this film be screened in Central Europe, and we are grateful to the Karlovy Vary International Film Festival for this opportunity,” said OCCRP co-founders Drew Sullivan and Paul Radu, the film’s executive producers. “","Drew Sullivan","OCCRP","MANAGER"
" “It’s essential that this film be screened in Central Europe, and we are grateful to the Karlovy Vary International Film Festival for this opportunity,” said OCCRP co-founders Drew Sullivan and Paul Radu, the film’s executive producers. “","Paul Radu","OCCRP","MANAGER"
"He noted a colleague’s earlier notes from a conversation between Mossack Fonseca and HSBC, the UK-headquartered bank that served as Makhlouf’s financial manager, in which the bank assured the law firm that HSBC’s Geneva and London offices “know about Mr. Makhlouf and that they are comfortable with him.”","London","UK","WITHIN"
" That’s according to documentation from the Panama offshore registrar Mossack Fonseca, obtained and shared with International Consortium of Investigative Journalists (ICIJ) and Organized Crime and Corruption Reporting Project (OCCRP) by Süddeutsche Zeitung, a German publication.","International Consortium of Investigative Journalists","Organized Crime and Corruption Reporting Project","BUSINESS"
" That’s according to documentation from the Panama offshore registrar Mossack Fonseca, obtained and shared with International Consortium of Investigative Journalists (ICIJ) and Organized Crime and Corruption Reporting Project (OCCRP) by Süddeutsche Zeitung, a German publication.","International Consortium of Investigative Journalists","Süddeutsche Zeitung","BUSINESS"
